id_texture,tessitura,texture,alpha,n,he,theta_r,theta_s,k_sat,l
1,Sabbioso,sand,0.4,1.7,0.7,0.01,0.38,192.0,0.5
2,Sabbioso-Franco,loamy sand,0.35,1.5,1.0,0.02,0.39,96.0,0.5
3,Franco-Sabbioso,sandy loam,0.29,1.35,1.5,0.03,0.4,48.0,0.5
4,Franco-Limoso,silt loam,0.14,1.25,2.6,0.03,0.44,4.8,0.5
5,Franco,loam,0.16,1.25,2.3,0.03,0.43,9.6,0.5
6,Limoso,silt,0.1,1.24,2.7,0.03,0.44,2.4,0.5
7,Franco-Sabbioso-Argilloso,sandy clayloam,0.22,1.24,2.1,0.03,0.42,12.0,0.5
8,Franco-Argilloso-Limoso,silty clayloam,0.13,1.22,3.1,0.03,0.46,2.4,0.5
9,Franco-Argilloso,clayloam,0.18,1.19,2.7,0.04,0.45,3.6,0.5
10,Argilloso-Sabbioso,sandy clay,0.21,1.2,2.5,0.04,0.44,4.8,0.5
11,Argilloso-Limoso,silty clay,0.17,1.19,3.3,0.05,0.48,2.4,0.5
12,Argilloso,clay,0.16,1.18,3.7,0.05,0.49,1.2,0.5
